NAME                    STATUS   VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS   AGE
data-ksqldb-0           Bound    pvc-af91c9e2-dcd0-491c-ac2d-3da6b1727b41   100Gi      RWO            custom-gp2     23h
data-ksqldb-1           Bound    pvc-e2fbf9e2-505e-4197-ab68-b4776b5ea4ed   100Gi      RWO            custom-gp2     23h
data-zookeeper-0        Bound    pvc-6863748d-b669-4d33-b51b-6b3166d3f344   10Gi       RWO            custom-gp2     23h
data-zookeeper-1        Bound    pvc-3a093a9a-a3fd-41eb-9f90-d4af42cfa170   10Gi       RWO            custom-gp2     23h
data-zookeeper-2        Bound    pvc-9e0a9034-8ba7-465e-9579-3d2fa9c6e23d   10Gi       RWO            custom-gp2     23h
data0-controlcenter-0   Bound    pvc-8576441f-d331-4591-adca-e08dd8652a89   100Gi      RWO            custom-gp2     23h
data0-kafka-0           Bound    pvc-09f152f6-2aeb-4c08-b841-5d59236081c1   100Gi      RWO            custom-gp2     23h
data0-kafka-1           Bound    pvc-b3fb6812-7ea8-4f01-b3b8-c22bcd82d4a4   100Gi      RWO            custom-gp2     23h
data0-kafka-2           Bound    pvc-0fd95eb3-a77b-41d7-8388-0922bc7fe3ff   100Gi      RWO            custom-gp2     23h
ldap-config-ldap-0      Bound    pvc-e262b1e0-b68c-4fab-be4f-6f879554155e   1Gi        RWO            gp2            6d23h
ldap-data-ldap-0        Bound    pvc-f260fb2f-d3b5-4747-bc02-54e76b7a2dd3   1Gi        RWO            gp2            6d23h
txnlog-zookeeper-0      Bound    pvc-1eeb8fcf-a4b8-4b67-84b6-cc0fab61291c   10Gi       RWO            custom-gp2     23h
txnlog-zookeeper-1      Bound    pvc-b03ff691-7847-4b03-998f-56bc9bad9a9b   10Gi       RWO            custom-gp2     23h
txnlog-zookeeper-2      Bound    pvc-f295f849-f34e-49eb-b221-64548df66b39   10Gi       RWO            custom-gp2     23h
